DQN：
实验条件：抽象训练 point43
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)

episode 124, episode_reward 300, epsilon 0.290488
episode 125, episode_reward 1280, epsilon 0.287584
episode 126, episode_reward 1550, epsilon 0.284708
episode 127, episode_reward 260, epsilon 0.281861
episode 128, episode_reward 4380, epsilon 0.279042
episode 129, episode_reward 1330, epsilon 0.276252
episode 130, episode_reward 1040, epsilon 0.273489
episode 131, episode_reward 325, epsilon 0.270754
episode 132, episode_reward 85, epsilon 0.268047
episode 133, episode_reward 5, epsilon 0.265366
episode 134, episode_reward -20, epsilon 0.262713
episode 135, episode_reward 1485, epsilon 0.260085
episode 136, episode_reward 375, epsilon 0.257485
episode 137, episode_reward 1770, epsilon 0.254910
episode 138, episode_reward 1495, epsilon 0.252361
episode 139, episode_reward 250, epsilon 0.249837
episode 140, episode_reward 340, epsilon 0.247339
episode 141, episode_reward -75, epsilon 0.244865
episode 142, episode_reward 1210, epsilon 0.242417
episode 143, episode_reward 5, epsilon 0.239992
episode 144, episode_reward -70, epsilon 0.237593
episode 145, episode_reward 1160, epsilon 0.235217
episode 146, episode_reward 905, epsilon 0.232864
episode 147, episode_reward 1055, epsilon 0.230536
episode 148, episode_reward -15, epsilon 0.228230
episode 149, episode_reward -5, epsilon 0.225948
episode 150, episode_reward 25, epsilon 0.223689
episode 151, episode_reward 1550, epsilon 0.221452
episode 152, episode_reward 1215, epsilon 0.219237
episode 153, episode_reward 265, epsilon 0.217045
episode 154, episode_reward 265, epsilon 0.214874
episode 155, episode_reward 1210, epsilon 0.212726
episode 156, episode_reward 355, epsilon 0.210598
episode 157, episode_reward -40, epsilon 0.208492
episode 158, episode_reward 250, epsilon 0.206408
episode 159, episode_reward 870, epsilon 0.204343
episode 160, episode_reward -65, epsilon 0.202300
episode 161, episode_reward 825, epsilon 0.200277
episode 162, episode_reward 1000, epsilon 0.198274
episode 163, episode_reward 250, epsilon 0.196292
episode 164, episode_reward -45, epsilon 0.194329
episode 165, episode_reward 1145, epsilon 0.192385
episode 166, episode_reward 1535, epsilon 0.190461
episode 167, episode_reward 1005, epsilon 0.188557
episode 168, episode_reward 1425, epsilon 0.186671
episode 169, episode_reward 8140, epsilon 0.184805
episode 170, episode_reward 385, epsilon 0.182957
episode 171, episode_reward 910, epsilon 0.181127
episode 172, episode_reward 2190, epsilon 0.179316
episode 173, episode_reward 2045, epsilon 0.177523
episode 174, episode_reward 3265, epsilon 0.175747
episode 175, episode_reward 270, epsilon 0.173990
episode 176, episode_reward 925, epsilon 0.172250
episode 177, episode_reward 1455, epsilon 0.170527
episode 178, episode_reward 3660, epsilon 0.168822
episode 179, episode_reward 4065, epsilon 0.167134
episode 180, episode_reward -90, epsilon 0.165463
episode 181, episode_reward 10, epsilon 0.163808
episode 182, episode_reward 235, epsilon 0.162170
episode 183, episode_reward 875, epsilon 0.160548
episode 184, episode_reward 870, epsilon 0.158943
episode 185, episode_reward 1105, epsilon 0.157353
episode 186, episode_reward 7890, epsilon 0.155780
episode 187, episode_reward 205, epsilon 0.154222
episode 188, episode_reward 2520, epsilon 0.152680
episode 189, episode_reward 1265, epsilon 0.151153
episode 190, episode_reward 260, epsilon 0.149641
episode 191, episode_reward 1520, epsilon 0.148145
episode 192, episode_reward 880, epsilon 0.146664
episode 193, episode_reward 1015, epsilon 0.145197
episode 194, episode_reward 1895, epsilon 0.143745
episode 195, episode_reward 835, epsilon 0.142307
episode 196, episode_reward 195, epsilon 0.140884
episode 197, episode_reward 3840, epsilon 0.139476
episode 198, episode_reward 1085, epsilon 0.138081
episode 199, episode_reward 1240, epsilon 0.136700
episode 200, episode_reward 1985, epsilon 0.135333
episode 201, episode_reward -35, epsilon 0.133980
episode 202, episode_reward -20, epsilon 0.132640
episode 203, episode_reward -60, epsilon 0.131313
episode 204, episode_reward 1215, epsilon 0.130000
episode 205, episode_reward 1405, epsilon 0.128700
episode 206, episode_reward 5285, epsilon 0.127413
episode 207, episode_reward 20, epsilon 0.126139
episode 208, episode_reward -95, epsilon 0.124878
episode 209, episode_reward -75, epsilon 0.123629
episode 210, episode_reward -80, epsilon 0.122393
episode 211, episode_reward 1115, epsilon 0.121169
episode 212, episode_reward 3320, epsilon 0.119957
episode 213, episode_reward 1250, epsilon 0.118758
episode 214, episode_reward 695, epsilon 0.117570
episode 215, episode_reward 3545, epsilon 0.116394
episode 216, episode_reward 855, epsilon 0.115230
episode 217, episode_reward 1045, epsilon 0.114078
episode 218, episode_reward -50, epsilon 0.112937
episode 219, episode_reward -30, epsilon 0.111808
episode 220, episode_reward 1895, epsilon 0.110690
episode 221, episode_reward 1925, epsilon 0.109583
episode 222, episode_reward 1195, epsilon 0.108487
episode 223, episode_reward 750, epsilon 0.107402
episode 224, episode_reward 1335, epsilon 0.106328
episode 225, episode_reward 1180, epsilon 0.105265
episode 226, episode_reward 1070, epsilon 0.104212
episode 227, episode_reward 2065, epsilon 0.103170
episode 228, episode_reward -25, epsilon 0.102138
episode 229, episode_reward 1025, epsilon 0.101117
episode 230, episode_reward 775, epsilon 0.100106
episode 231, episode_reward -60, epsilon 0.099105
episode 232, episode_reward -55, epsilon 0.098114
episode 233, episode_reward -45, epsilon 0.097133
episode 234, episode_reward 765, epsilon 0.096161
episode 235, episode_reward 1225, epsilon 0.095200
episode 236, episode_reward 1000, epsilon 0.094248
episode 237, episode_reward -120, epsilon 0.093305
episode 238, episode_reward -95, epsilon 0.092372
episode 239, episode_reward -45, epsilon 0.091448
episode 240, episode_reward 185, epsilon 0.090534
episode 241, episode_reward 1760, epsilon 0.089629
episode 242, episode_reward 5560, epsilon 0.088732
episode 243, episode_reward 1875, epsilon 0.087845
episode 244, episode_reward 275, epsilon 0.086967
episode 245, episode_reward 3565, epsilon 0.086097
episode 246, episode_reward 3540, epsilon 0.085236
episode 247, episode_reward 3325, epsilon 0.084384
episode 248, episode_reward 1175, epsilon 0.083540
episode 249, episode_reward 1410, epsilon 0.082704
episode 250, episode_reward 1115, epsilon 0.081877
episode 251, episode_reward 795, epsilon 0.081059
episode 252, episode_reward -55, epsilon 0.080248
episode 253, episode_reward -30, epsilon 0.079445
episode 254, episode_reward -40, epsilon 0.078651
episode 255, episode_reward -50, epsilon 0.077864
episode 256, episode_reward 5515, epsilon 0.077086
episode 257, episode_reward 1185, epsilon 0.076315
episode 258, episode_reward 825, epsilon 0.075552
episode 259, episode_reward 775, epsilon 0.074796
episode 260, episode_reward 3175, epsilon 0.074048
episode 261, episode_reward 795, epsilon 0.073308
episode 262, episode_reward 6780, epsilon 0.072575
episode 263, episode_reward -50, epsilon 0.071849
episode 264, episode_reward 6965, epsilon 0.071131
episode 265, episode_reward 4870, epsilon 0.070419
episode 266, episode_reward 1915, epsilon 0.069715
episode 267, episode_reward 1705, epsilon 0.069018
episode 268, episode_reward 1070, epsilon 0.068328
episode 269, episode_reward 775, epsilon 0.067644
episode 270, episode_reward 1285, epsilon 0.066968
episode 271, episode_reward 1240, epsilon 0.066298
episode 272, episode_reward 800, epsilon 0.065635
episode 273, episode_reward -45, epsilon 0.064979
episode 274, episode_reward 1160, epsilon 0.064329
episode 275, episode_reward 1165, epsilon 0.063686
episode 276, episode_reward 6265, epsilon 0.063049
episode 277, episode_reward -95, epsilon 0.062419
episode 278, episode_reward 1795, epsilon 0.061794
episode 279, episode_reward 1805, epsilon 0.061176
episode 280, episode_reward 1180, epsilon 0.060565
episode 281, episode_reward 7985, epsilon 0.059959
episode 282, episode_reward 1110, epsilon 0.059359
episode 283, episode_reward -80, epsilon 0.058766
episode 284, episode_reward -70, epsilon 0.058178
episode 285, episode_reward -80, epsilon 0.057596
episode 286, episode_reward 2070, epsilon 0.057020
episode 287, episode_reward 6780, epsilon 0.056450
episode 288, episode_reward 1885, epsilon 0.055886
episode 289, episode_reward 6810, epsilon 0.055327
episode 290, episode_reward 3570, epsilon 0.054774
episode 291, episode_reward 3605, epsilon 0.054226
episode 292, episode_reward 3690, epsilon 0.053684
episode 293, episode_reward 3545, epsilon 0.053147
episode 294, episode_reward 1195, epsilon 0.052615
episode 295, episode_reward 865, epsilon 0.052089
episode 296, episode_reward 5500, epsilon 0.051568
episode 297, episode_reward 1350, epsilon 0.051053
episode 298, episode_reward 1305, epsilon 0.050542
episode 299, episode_reward -55, epsilon 0.050037
episode 300, episode_reward -70, epsilon 0.049536
episode 301, episode_reward -75, epsilon 0.049041
episode 302, episode_reward -60, epsilon 0.048550
episode 303, episode_reward 1470, epsilon 0.048065
episode 304, episode_reward 2075, epsilon 0.047584
episode 305, episode_reward 3300, epsilon 0.047108
episode 306, episode_reward 265, epsilon 0.046637
episode 307, episode_reward 3620, epsilon 0.046171
episode 308, episode_reward 9685, epsilon 0.045709
episode 309, episode_reward 1335, epsilon 0.045252
episode 310, episode_reward 1375, epsilon 0.044800
episode 311, episode_reward 1235, epsilon 0.044352
