DQN：
实验条件：抽象训练
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=10
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000


反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 5:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= int(time.time() - self.episode_start) * (int)(CarEnv.DSEIRED_DIS - dis)


episode 275, episode_reward 170, epsilon 0.063686
episode 276, episode_reward 2646, epsilon 0.063049
episode 277, episode_reward 340, epsilon 0.062419
episode 278, episode_reward 5819, epsilon 0.061794
episode 279, episode_reward 9583, epsilon 0.061176
episode 280, episode_reward 13865, epsilon 0.060565
episode 281, episode_reward 14415, epsilon 0.059959
episode 282, episode_reward 15217, epsilon 0.059359
episode 283, episode_reward 14583, epsilon 0.058766
episode 284, episode_reward 14504, epsilon 0.058178
episode 285, episode_reward 4345, epsilon 0.057596
episode 286, episode_reward 15095, epsilon 0.057020
episode 287, episode_reward 380, epsilon 0.056450
episode 288, episode_reward 5955, epsilon 0.055886
episode 289, episode_reward 1667, epsilon 0.055327
episode 290, episode_reward 2215, epsilon 0.054774
episode 291, episode_reward 6265, epsilon 0.054226
episode 292, episode_reward 4630, epsilon 0.053684
episode 293, episode_reward 4897, epsilon 0.053147
episode 294, episode_reward 2225, epsilon 0.052615
episode 295, episode_reward 205, epsilon 0.052089
episode 296, episode_reward 680, epsilon 0.051568
episode 297, episode_reward 710, epsilon 0.051053
episode 298, episode_reward 4460, epsilon 0.050542
episode 299, episode_reward 250, epsilon 0.050037
episode 300, episode_reward 10237, epsilon 0.049536
episode 301, episode_reward 2515, epsilon 0.049041
episode 302, episode_reward 3685, epsilon 0.048550
episode 303, episode_reward 4889, epsilon 0.048065
episode 304, episode_reward 565, epsilon 0.047584
episode 305, episode_reward 12523, epsilon 0.047108
episode 306, episode_reward 2056, epsilon 0.046637
episode 307, episode_reward 3085, epsilon 0.046171
episode 308, episode_reward 1709, epsilon 0.045709
episode 309, episode_reward 3530, epsilon 0.045252
episode 310, episode_reward 14145, epsilon 0.044800
episode 311, episode_reward 14979, epsilon 0.044352
episode 312, episode_reward 4315, epsilon 0.043908
episode 313, episode_reward 14613, epsilon 0.043469
episode 314, episode_reward 515, epsilon 0.043034
episode 315, episode_reward 3010, epsilon 0.042604
episode 316, episode_reward 5906, epsilon 0.042178
episode 317, episode_reward 3520, epsilon 0.041756
episode 318, episode_reward 14851, epsilon 0.041339
episode 319, episode_reward 1830, epsilon 0.040925
episode 320, episode_reward 2045, epsilon 0.040516
episode 321, episode_reward 3705, epsilon 0.040111
episode 322, episode_reward 13941, epsilon 0.039710
episode 323, episode_reward 13414, epsilon 0.039313
episode 324, episode_reward 14585, epsilon 0.038920
episode 325, episode_reward 13627, epsilon 0.038530
episode 326, episode_reward 3555, epsilon 0.038145
episode 327, episode_reward 4545, epsilon 0.037764
episode 328, episode_reward 295, epsilon 0.037386
episode 329, episode_reward 1760, epsilon 0.037012
episode 330, episode_reward 14768, epsilon 0.036642
episode 331, episode_reward 4155, epsilon 0.036276
episode 332, episode_reward 210, epsilon 0.035913
episode 333, episode_reward 365, epsilon 0.035554
episode 334, episode_reward 9009, epsilon 0.035198
episode 335, episode_reward 3725, epsilon 0.034846
episode 336, episode_reward 3775, epsilon 0.034498
episode 337, episode_reward 4215, epsilon 0.034153
episode 338, episode_reward 4335, epsilon 0.033811
episode 339, episode_reward 15060, epsilon 0.033473
episode 340, episode_reward 2545, epsilon 0.033138
episode 341, episode_reward 15018, epsilon 0.032807
episode 342, episode_reward 3765, epsilon 0.032479
episode 343, episode_reward 205, epsilon 0.032154
episode 344, episode_reward 15052, epsilon 0.031833
episode 345, episode_reward 275, epsilon 0.031514
episode 346, episode_reward 175, epsilon 0.031199
episode 347, episode_reward 3495, epsilon 0.030887
episode 348, episode_reward 14093, epsilon 0.030578
episode 349, episode_reward 3715, epsilon 0.030272
episode 350, episode_reward 470, epsilon 0.029970
episode 351, episode_reward 245, epsilon 0.029670
episode 352, episode_reward 4965, epsilon 0.029373
episode 353, episode_reward 14098, epsilon 0.029080
episode 354, episode_reward 3484, epsilon 0.028789
episode 355, episode_reward 255, epsilon 0.028501
episode 356, episode_reward 4225, epsilon 0.028216
episode 357, episode_reward 3435, epsilon 0.027934
episode 358, episode_reward 405, epsilon 0.027654
episode 359, episode_reward 4165, epsilon 0.027378
