DQN：非抽象训练

EPISODES = 10000
EPSILON = 1
INTERVAL_NUM = 100

EPSILON_DECAY = 0.995  ## 0.9975 99975
MIN_EPSILON = 0.001

MIN_REPLAY_MEMORY_SIZE = 1_000
AGGREGATE_STATS_EVERY = 5


REPLAY_MEMORY_SIZE = 7_000

MINIBATCH_SIZE = 4
UPDATE_TARGET_EVERY = 10  # used to be 10
DISCOUNT = 0.99

SECONDS_PER_EPISODE = 20
    STEER_AMT = 1
    SPEED_AMT = 1
step:
            if action == 0:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=-1.0 * self.STEER_AMT))
            if action == 1:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=0.0))
            if action == 2:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=1.0 * self.STEER_AMT))
        if len(self.collision_hist) != 0:
            done = True
            reward -= 1
        elif kmh < 50:
            done = False
            reward -= 1
        else:
            done = False
            reward += 1
episode 117, episode_reward -64, epsilon 0.559084
episode 118, episode_reward -97, epsilon 0.556289
episode 119, episode_reward -72, epsilon 0.553508
episode 120, episode_reward -91, epsilon 0.550740
episode 121, episode_reward -84, epsilon 0.547986
episode 122, episode_reward -60, epsilon 0.545246
episode 123, episode_reward -69, epsilon 0.542520
episode 124, episode_reward -77, epsilon 0.539808
episode 125, episode_reward -109, epsilon 0.537108
episode 126, episode_reward -97, epsilon 0.534423
episode 127, episode_reward -67, epsilon 0.531751
episode 128, episode_reward -62, epsilon 0.529092
episode 129, episode_reward -72, epsilon 0.526447
episode 130, episode_reward -59, epsilon 0.523814
episode 131, episode_reward -77, epsilon 0.521195
episode 132, episode_reward -140, epsilon 0.518589
episode 133, episode_reward -81, epsilon 0.515996
episode 134, episode_reward -85, epsilon 0.513416
episode 135, episode_reward -81, epsilon 0.510849
episode 136, episode_reward -73, epsilon 0.508295
episode 137, episode_reward -102, epsilon 0.505754
episode 138, episode_reward -122, epsilon 0.503225
episode 139, episode_reward -89, epsilon 0.500709
episode 140, episode_reward -63, epsilon 0.498205
episode 141, episode_reward -82, epsilon 0.495714
episode 142, episode_reward -67, epsilon 0.493236
episode 143, episode_reward -94, epsilon 0.490769
episode 144, episode_reward -63, epsilon 0.488316
episode 145, episode_reward -58, epsilon 0.485874
episode 146, episode_reward -70, epsilon 0.483445
episode 147, episode_reward -52, epsilon 0.481027
episode 148, episode_reward -58, epsilon 0.478622
episode 149, episode_reward -57, epsilon 0.476229
episode 150, episode_reward -62, epsilon 0.473848
episode 151, episode_reward -56, epsilon 0.471479
episode 152, episode_reward -68, epsilon 0.469121
episode 153, episode_reward -102, epsilon 0.466776
episode 154, episode_reward -86, epsilon 0.464442
episode 155, episode_reward -61, epsilon 0.462120
episode 156, episode_reward -85, epsilon 0.459809
episode 157, episode_reward -63, epsilon 0.457510
episode 158, episode_reward -62, epsilon 0.455222
episode 159, episode_reward -60, epsilon 0.452946
episode 160, episode_reward -58, epsilon 0.450682
episode 161, episode_reward -82, epsilon 0.448428
episode 162, episode_reward -57, epsilon 0.446186
episode 163, episode_reward -59, epsilon 0.443955
episode 164, episode_reward -149, epsilon 0.441735
episode 165, episode_reward -86, epsilon 0.439527
episode 166, episode_reward -81, epsilon 0.437329
episode 167, episode_reward -64, epsilon 0.435142
episode 168, episode_reward -58, epsilon 0.432967
episode 169, episode_reward -58, epsilon 0.430802
episode 170, episode_reward -58, epsilon 0.428648
episode 171, episode_reward -66, epsilon 0.426505
episode 172, episode_reward -59, epsilon 0.424372
episode 173, episode_reward -55, epsilon 0.422250
episode 174, episode_reward -74, epsilon 0.420139
episode 175, episode_reward -56, epsilon 0.418038
episode 176, episode_reward -81, epsilon 0.415948
episode 177, episode_reward -79, epsilon 0.413868
episode 178, episode_reward -59, epsilon 0.411799
episode 179, episode_reward -102, epsilon 0.409740
episode 180, episode_reward -87, epsilon 0.407691
episode 181, episode_reward -80, epsilon 0.405653
episode 182, episode_reward -56, epsilon 0.403625
episode 183, episode_reward -59, epsilon 0.401606
episode 184, episode_reward -49, epsilon 0.399598
episode 185, episode_reward -86, epsilon 0.397600
episode 186, episode_reward -79, epsilon 0.395612
episode 187, episode_reward -65, epsilon 0.393634
episode 188, episode_reward -62, epsilon 0.391666
episode 189, episode_reward -75, epsilon 0.389708
episode 190, episode_reward -56, epsilon 0.387759
episode 191, episode_reward -64, epsilon 0.385821
episode 192, episode_reward -59, epsilon 0.383891
episode 193, episode_reward -59, epsilon 0.381972
episode 194, episode_reward -67, epsilon 0.380062
episode 195, episode_reward -61, epsilon 0.378162
episode 196, episode_reward -83, epsilon 0.376271
episode 197, episode_reward -55, epsilon 0.374390
episode 198, episode_reward -58, epsilon 0.372518
episode 199, episode_reward -60, epsilon 0.370655
episode 200, episode_reward -64, epsilon 0.368802
episode 201, episode_reward -59, epsilon 0.366958
episode 202, episode_reward -81, epsilon 0.365123
episode 203, episode_reward -83, epsilon 0.363297
episode 204, episode_reward -79, epsilon 0.361481
episode 205, episode_reward -72, epsilon 0.359674
episode 206, episode_reward -111, epsilon 0.357875
episode 207, episode_reward -52, epsilon 0.356086
episode 208, episode_reward -57, epsilon 0.354305
episode 209, episode_reward -57, epsilon 0.352534
episode 210, episode_reward -60, epsilon 0.350771
episode 211, episode_reward -64, epsilon 0.349017
episode 212, episode_reward -66, epsilon 0.347272
episode 213, episode_reward -59, epsilon 0.345536
episode 214, episode_reward -78, epsilon 0.343808
episode 215, episode_reward -62, epsilon 0.342089
episode 216, episode_reward -59, epsilon 0.340379
episode 217, episode_reward -61, epsilon 0.338677
episode 218, episode_reward -53, epsilon 0.336983
episode 219, episode_reward -81, epsilon 0.335298
episode 220, episode_reward -51, epsilon 0.333622
episode 221, episode_reward -87, epsilon 0.331954
episode 222, episode_reward -59, epsilon 0.330294
episode 223, episode_reward -46, epsilon 0.328643
episode 224, episode_reward -57, epsilon 0.326999
episode 225, episode_reward -65, epsilon 0.325364
episode 226, episode_reward -53, epsilon 0.323738
episode 227, episode_reward -62, epsilon 0.322119
episode 228, episode_reward -55, epsilon 0.320508
episode 229, episode_reward -62, epsilon 0.318906
episode 230, episode_reward -61, epsilon 0.317311
episode 231, episode_reward -52, epsilon 0.315725
episode 232, episode_reward -80, epsilon 0.314146
episode 233, episode_reward -79, epsilon 0.312575
episode 234, episode_reward -53, epsilon 0.311012
episode 235, episode_reward -69, epsilon 0.309457
episode 236, episode_reward -61, epsilon 0.307910
episode 237, episode_reward -67, epsilon 0.306371
episode 238, episode_reward -79, epsilon 0.304839
episode 239, episode_reward -90, epsilon 0.303315
episode 240, episode_reward -59, epsilon 0.301798
episode 241, episode_reward -58, epsilon 0.300289
episode 242, episode_reward -57, epsilon 0.298788
episode 243, episode_reward -53, epsilon 0.297294
episode 244, episode_reward -55, epsilon 0.295807
episode 245, episode_reward -64, epsilon 0.294328
episode 246, episode_reward -59, epsilon 0.292856
episode 247, episode_reward -75, epsilon 0.291392
episode 248, episode_reward -56, epsilon 0.289935
episode 249, episode_reward -54, epsilon 0.288486
episode 250, episode_reward -77, epsilon 0.287043
episode 251, episode_reward -57, epsilon 0.285608
episode 252, episode_reward -56, epsilon 0.284180
episode 253, episode_reward -57, epsilon 0.282759
episode 254, episode_reward -74, epsilon 0.281345
episode 255, episode_reward -55, epsilon 0.279938
episode 256, episode_reward -62, epsilon 0.278539
episode 257, episode_reward -56, epsilon 0.277146
episode 258, episode_reward -54, epsilon 0.275760
episode 259, episode_reward -56, epsilon 0.274382
episode 260, episode_reward -52, epsilon 0.273010
episode 261, episode_reward -120, epsilon 0.271645
episode 262, episode_reward -55, epsilon 0.270286
episode 263, episode_reward -57, epsilon 0.268935
episode 264, episode_reward -69, epsilon 0.267590
episode 265, episode_reward -59, epsilon 0.266252
episode 266, episode_reward -61, epsilon 0.264921
episode 267, episode_reward -73, epsilon 0.263596
episode 268, episode_reward -81, epsilon 0.262278
episode 269, episode_reward -120, epsilon 0.260967
episode 270, episode_reward -50, epsilon 0.259662
episode 271, episode_reward -75, epsilon 0.258364
episode 272, episode_reward -48, epsilon 0.257072
episode 273, episode_reward -74, epsilon 0.255787
episode 274, episode_reward -54, epsilon 0.254508
episode 275, episode_reward -56, epsilon 0.253235
episode 276, episode_reward -58, epsilon 0.251969
episode 277, episode_reward -49, epsilon 0.250709
episode 278, episode_reward -53, epsilon 0.249456
episode 279, episode_reward -252, epsilon 0.248208
episode 280, episode_reward -79, epsilon 0.246967
episode 281, episode_reward -109, epsilon 0.245733
episode 282, episode_reward -60, epsilon 0.244504
episode 283, episode_reward -56, epsilon 0.243281
episode 284, episode_reward -56, epsilon 0.242065
episode 285, episode_reward -48, epsilon 0.240855
episode 286, episode_reward -75, epsilon 0.239650
episode 287, episode_reward -112, epsilon 0.238452
episode 288, episode_reward -68, epsilon 0.237260
episode 289, episode_reward -72, epsilon 0.236074
episode 290, episode_reward -26, epsilon 0.234893
episode 291, episode_reward -60, epsilon 0.233719
episode 292, episode_reward -55, epsilon 0.232550
episode 293, episode_reward -65, epsilon 0.231387
episode 294, episode_reward -59, epsilon 0.230230
episode 295, episode_reward -59, epsilon 0.229079
episode 296, episode_reward -72, epsilon 0.227934
episode 297, episode_reward -71, epsilon 0.226794
episode 298, episode_reward -56, epsilon 0.225660
episode 299, episode_reward -73, epsilon 0.224532
episode 300, episode_reward -55, epsilon 0.223409
episode 301, episode_reward -64, epsilon 0.222292
episode 302, episode_reward -110, epsilon 0.221181
episode 303, episode_reward -74, epsilon 0.220075
episode 304, episode_reward -9, epsilon 0.218974
episode 305, episode_reward -165, epsilon 0.217880
episode 306, episode_reward -73, epsilon 0.216790
episode 307, episode_reward -55, epsilon 0.215706
episode 308, episode_reward -73, epsilon 0.214628
episode 309, episode_reward -57, epsilon 0.213555
episode 310, episode_reward -56, epsilon 0.212487
episode 311, episode_reward -76, epsilon 0.211424
episode 312, episode_reward -48, epsilon 0.210367
episode 313, episode_reward -70, epsilon 0.209315
episode 314, episode_reward -63, epsilon 0.208269
episode 315, episode_reward -81, epsilon 0.207227
episode 316, episode_reward -53, epsilon 0.206191
episode 317, episode_reward -51, epsilon 0.205160
episode 318, episode_reward -55, epsilon 0.204135
episode 319, episode_reward -49, epsilon 0.203114
episode 320, episode_reward -55, epsilon 0.202098
episode 321, episode_reward -67, epsilon 0.201088
episode 322, episode_reward -71, epsilon 0.200082
episode 323, episode_reward -31, epsilon 0.199082
episode 324, episode_reward -69, epsilon 0.198087
episode 325, episode_reward -53, epsilon 0.197096
episode 326, episode_reward -71, epsilon 0.196111
episode 327, episode_reward -73, epsilon 0.195130
episode 328, episode_reward -51, epsilon 0.194154
episode 329, episode_reward -67, epsilon 0.193184
episode 330, episode_reward -52, epsilon 0.192218
episode 331, episode_reward -74, epsilon 0.191257
episode 332, episode_reward -51, epsilon 0.190300
episode 333, episode_reward -66, epsilon 0.189349
episode 334, episode_reward -68, epsilon 0.188402
episode 335, episode_reward -45, epsilon 0.187460
episode 336, episode_reward -69, epsilon 0.186523
episode 337, episode_reward -76, epsilon 0.185590
episode 338, episode_reward -110, epsilon 0.184662
episode 339, episode_reward -51, epsilon 0.183739
episode 340, episode_reward -72, epsilon 0.182820
episode 341, episode_reward -52, epsilon 0.181906
episode 342, episode_reward -69, epsilon 0.180997
episode 343, episode_reward -50, epsilon 0.180092
episode 344, episode_reward -73, epsilon 0.179191
episode 345, episode_reward -56, epsilon 0.178295
episode 346, episode_reward -51, epsilon 0.177404
episode 347, episode_reward -50, epsilon 0.176517
episode 348, episode_reward -56, epsilon 0.175634
episode 349, episode_reward -72, epsilon 0.174756
episode 350, episode_reward -67, epsilon 0.173882
episode 351, episode_reward -50, epsilon 0.173013
episode 352, episode_reward -70, epsilon 0.172148
episode 353, episode_reward -72, epsilon 0.171287
episode 354, episode_reward -52, epsilon 0.170431
episode 355, episode_reward -158, epsilon 0.169578
episode 356, episode_reward -72, epsilon 0.168731
episode 357, episode_reward -111, epsilon 0.167887
episode 358, episode_reward -92, epsilon 0.167047
episode 359, episode_reward -105, epsilon 0.166212
episode 360, episode_reward -71, epsilon 0.165381
episode 361, episode_reward -50, epsilon 0.164554
episode 362, episode_reward -48, epsilon 0.163731
episode 363, episode_reward -54, epsilon 0.162913
episode 364, episode_reward -53, epsilon 0.162098
episode 365, episode_reward -58, epsilon 0.161288
episode 366, episode_reward -51, epsilon 0.160481
episode 367, episode_reward -57, epsilon 0.159679
episode 368, episode_reward -70, epsilon 0.158881
episode 369, episode_reward -49, epsilon 0.158086
episode 370, episode_reward -54, epsilon 0.157296
episode 371, episode_reward -56, epsilon 0.156509
episode 372, episode_reward -217, epsilon 0.155727
episode 373, episode_reward -51, epsilon 0.154948
episode 374, episode_reward -79, epsilon 0.154173
episode 375, episode_reward -48, epsilon 0.153402
episode 376, episode_reward -55, epsilon 0.152635
episode 377, episode_reward -49, epsilon 0.151872
episode 378, episode_reward -70, epsilon 0.151113
episode 379, episode_reward -61, epsilon 0.150357
episode 380, episode_reward -47, epsilon 0.149606
episode 381, episode_reward -46, epsilon 0.148857
episode 382, episode_reward -70, epsilon 0.148113
