DQN：
实验条件：非抽象训练 pointdefault
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)


episode 106, episode_reward -135, epsilon 0.348093
episode 107, episode_reward 1825, epsilon 0.344612
episode 108, episode_reward 355, epsilon 0.341166
episode 109, episode_reward -45, epsilon 0.337754
episode 110, episode_reward -230, epsilon 0.334377
episode 111, episode_reward -210, epsilon 0.331033
episode 112, episode_reward -145, epsilon 0.327723
episode 113, episode_reward 1825, epsilon 0.324446
episode 114, episode_reward 1645, epsilon 0.321201
episode 115, episode_reward -160, epsilon 0.317989
episode 116, episode_reward 400, epsilon 0.314809
episode 117, episode_reward -235, epsilon 0.311661
episode 118, episode_reward 745, epsilon 0.308544
episode 119, episode_reward 1655, epsilon 0.305459
episode 120, episode_reward -230, epsilon 0.302404
episode 121, episode_reward 1680, epsilon 0.299380
episode 122, episode_reward 315, epsilon 0.296387
episode 123, episode_reward 295, epsilon 0.293423
episode 124, episode_reward 340, epsilon 0.290488
episode 125, episode_reward -295, epsilon 0.287584
episode 126, episode_reward -175, epsilon 0.284708
episode 127, episode_reward 95, epsilon 0.281861
episode 128, episode_reward 1480, epsilon 0.279042
episode 129, episode_reward -120, epsilon 0.276252
episode 130, episode_reward 1455, epsilon 0.273489
episode 131, episode_reward 225, epsilon 0.270754
episode 132, episode_reward 290, epsilon 0.268047
episode 133, episode_reward -200, epsilon 0.265366
episode 134, episode_reward -135, epsilon 0.262713
episode 135, episode_reward -200, epsilon 0.260085
episode 136, episode_reward 170, epsilon 0.257485
episode 137, episode_reward 325, epsilon 0.254910
episode 138, episode_reward 300, epsilon 0.252361
episode 139, episode_reward 280, epsilon 0.249837
episode 140, episode_reward 275, epsilon 0.247339
episode 141, episode_reward 260, epsilon 0.244865
episode 142, episode_reward -200, epsilon 0.242417
episode 143, episode_reward 1445, epsilon 0.239992
episode 144, episode_reward 1665, epsilon 0.237593
episode 145, episode_reward 50, epsilon 0.235217
episode 146, episode_reward -235, epsilon 0.232864
episode 147, episode_reward -100, epsilon 0.230536
episode 148, episode_reward -155, epsilon 0.228230
episode 149, episode_reward 285, epsilon 0.225948
episode 150, episode_reward 235, epsilon 0.223689
